,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-1.0
2020-09-23 14:01:00,0.5,-1.5,0.5,-1.5,-0.5,-1.0,1.0,-1.0,0.0,-0.5,0.5,-0.5
2020-09-23 14:02:00,1.0,-1.3333333333333333,0.3333333333333333,-1.6666666666666667,-0.3333333333333333,-0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.0,0.0,0.0,-0.6666666666666666
2020-09-23 14:03:00,1.25,-1.5,0.5,-2.0,-0.5,-0.5,1.5,-0.75,0.25,0.5,0.0,-1.0
2020-09-23 14:04:00,1.2,-1.8,0.4,-2.0,-0.6,-0.2,1.6,-0.6,0.6,0.6,0.2,-1.0
2020-09-23 14:05:00,1.3333333333333333,-2.1666666666666665,0.3333333333333333,-2.0,-0.6666666666666666,-0.16666666666666666,1.8333333333333333,-0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,-1.1666666666666667
2020-09-23 14:06:00,1.2857142857142858,-2.4285714285714284,0.2857142857142857,-2.0,-0.7142857142857143,-0.14285714285714285,2.142857142857143,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,-1.1428571428571428
2020-09-23 14:07:00,1.125,-2.75,0.375,-2.125,-0.75,-0.125,2.25,0.125,0.5,0.5,0.875,-1.125
2020-09-23 14:08:00,0.8888888888888888,-2.888888888888889,0.4444444444444444,-2.111111111111111,-0.7777777777777778,-0.1111111111111111,2.4444444444444446,0.2222222222222222,0.4444444444444444,0.5555555555555556,1.1111111111111112,-1.0
2020-09-23 14:09:00,0.6,-2.9,0.4,-2.0,-0.7,0.0,2.5,0.3,0.5,0.5,1.4,-1.0
2020-09-23 14:10:00,0.2727272727272727,-2.8181818181818183,0.36363636363636365,-2.0,-0.5454545454545454,0.0,2.5454545454545454,0.36363636363636365,0.6363636363636364,0.5454545454545454,1.5454545454545454,-1.0909090909090908
2020-09-23 14:11:00,0.08333333333333333,-2.75,0.25,-1.9166666666666667,-0.5,0.08333333333333333,2.6666666666666665,0.3333333333333333,0.75,0.5833333333333334,1.5833333333333333,-1.0833333333333333
2020-09-23 14:12:00,-0.15384615384615385,-2.6153846153846154,0.15384615384615385,-1.9230769230769231,-0.5384615384615384,0.07692307692307693,2.8461538461538463,0.23076923076923078,0.9230769230769231,0.5384615384615384,1.6153846153846154,-1.0769230769230769
2020-09-23 14:13:00,-0.42857142857142855,-2.5,0.0,-1.8571428571428572,-0.5,0.0,3.0714285714285716,0.21428571428571427,1.1428571428571428,0.42857142857142855,1.7142857142857142,-1.0714285714285714
2020-09-23 14:14:00,-0.7333333333333333,-2.4,-0.2,-1.8,-0.4,-0.06666666666666667,3.2,0.13333333333333333,1.2666666666666666,0.4,1.7333333333333334,-1.1333333333333333
2020-09-23 14:15:00,-1.0,-2.3125,-0.375,-1.8125,-0.25,-0.0625,3.25,0.0,1.4375,0.375,1.8125,-1.25
2020-09-23 14:16:00,-1.2352941176470589,-2.235294117647059,-0.5882352941176471,-1.7647058823529411,-0.17647058823529413,-0.058823529411764705,3.3529411764705883,-0.11764705882352941,1.588235294117647,0.35294117647058826,1.8823529411764706,-1.2941176470588236
